Clothing ID,Review Text,Rating,Date
103,"Assistenza irraggiungibile, ticket rimasto senza risposta.",2,2024-10-10
102,Colore identico alle foto del sito.,5,2024-07-27
111,Reso semplice e rimborsato in 2 giorni.,4,2024-05-01
105,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-04-10
108,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-03-18
110,Reso semplice e rimborsato in 2 giorni.,5,2025-05-11
105,"Packaging curato e sostenibile, molto apprezzato.",5,2024-06-19
108,"Assistenza irraggiungibile, ticket rimasto senza risposta.",1,2025-02-05
112,Reso semplice e rimborsato in 2 giorni.,4,2025-05-29
110,"Packaging danneggiato, scatola arrivata schiacciata.",1,2024-09-14
109,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-08-13
105,"Consegna rapidissima in 24h, imballo integro.",5,2024-06-04
104,Colore diverso da quello visto nelle foto.,2,2024-04-16
104,Prezzo alto rispetto alla qualità percepita.,2,2024-08-06
104,"Packaging curato e sostenibile, molto apprezzato.",4,2024-04-03
112,"Reso complicato, procedure lunghe e poco chiare.",2,2024-12-10
106,Colore diverso da quello visto nelle foto.,2,2025-03-07
109,Colore identico alle foto del sito.,5,2025-04-21
104,"Packaging curato e sostenibile, molto apprezzato.",4,2025-05-23
106,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2025-04-13
110,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2025-09-28
111,Colore identico alle foto del sito.,5,2024-05-08
106,"Packaging danneggiato, scatola arrivata schiacciata.",2,2025-05-07
109,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-12-24
112,"Assistenza irraggiungibile, ticket rimasto senza risposta.",2,2024-02-10
108,"Taglia fedele alla guida, vestibilità perfetta.",4,2025-03-22
106,"Qualità ottima, tessuto Borsa pelle morbido e rifinito.",5,2024-05-22
108,Colore identico alle foto del sito.,4,2024-04-19
112,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2024-12-17
109,Prezzo alto rispetto alla qualità percepita.,1,2024-01-22
105,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2024-07-06
107,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",3,2024-05-04
108,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2025-05-05
107,Reso semplice e rimborsato in 2 giorni.,5,2024-08-31
102,Ottimo rapporto qualità/prezzo con sconto.,4,2024-12-26
104,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-05-27
111,"Packaging curato e sostenibile, molto apprezzato.",5,2024-10-06
105,"Consegna rapidissima in 24h, imballo integro.",4,2025-07-16
111,Reso semplice e rimborsato in 2 giorni.,4,2024-07-10
101,Colore identico alle foto del sito.,4,2024-03-06
102,"Packaging curato e sostenibile, molto apprezzato.",5,2024-09-05
102,Reso semplice e rimborsato in 2 giorni.,5,2025-08-01
111,"Packaging curato e sostenibile, molto apprezzato.",5,2024-04-26
109,"Consegna rapidissima in 24h, imballo integro.",5,2024-06-14
111,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2024-04-16
112,Reso semplice e rimborsato in 2 giorni.,4,2025-06-24
108,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-01-22
109,Colore identico alle foto del sito.,5,2025-05-12
109,Prezzo alto rispetto alla qualità percepita.,2,2024-10-14
106,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-03-05
104,"Taglia non corrispondente, ho dovuto cambiare due volte.",3,2025-04-04
108,"Qualità ottima, tessuto Pantaloni eleganti morbido e rifinito.",4,2024-06-17
112,Ottimo rapporto qualità/prezzo con sconto.,4,2024-06-08
108,"Consegna rapidissima in 24h, imballo integro.",5,2024-07-13
106,Ottimo rapporto qualità/prezzo con sconto.,5,2024-10-05
110,"Reso complicato, procedure lunghe e poco chiare.",4,2024-02-26
111,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-01-31
111,"Reso complicato, procedure lunghe e poco chiare.",3,2024-06-13
110,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-06-30
103,Reso semplice e rimborsato in 2 giorni.,5,2024-12-27
104,"Packaging curato e sostenibile, molto apprezzato.",5,2025-07-17
110,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2025-01-05
105,Prezzo alto rispetto alla qualità percepita.,3,2025-03-13
107,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",3,2025-05-26
104,"Packaging curato e sostenibile, molto apprezzato.",4,2025-05-03
109,"Taglia non corrispondente, ho dovuto cambiare due volte.",1,2025-07-02
105,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",3,2024-09-20
102,"Qualità ottima, tessuto Camicia lino morbido e rifinito.",4,2024-02-24
112,"Packaging curato e sostenibile, molto apprezzato.",5,2024-01-29
108,Colore identico alle foto del sito.,5,2024-12-27
109,Reso semplice e rimborsato in 2 giorni.,4,2025-09-21
105,Reso semplice e rimborsato in 2 giorni.,5,2024-04-08
108,"Qualità ottima, tessuto Pantaloni eleganti morbido e rifinito.",4,2024-06-23
109,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-04-06
107,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-03-13
105,"Reso complicato, procedure lunghe e poco chiare.",2,2024-04-08
103,Ottimo rapporto qualità/prezzo con sconto.,5,2025-06-30
105,"Reso complicato, procedure lunghe e poco chiare.",2,2024-01-10
103,Colore identico alle foto del sito.,5,2024-10-05
104,Ottimo rapporto qualità/prezzo con sconto.,4,2025-05-30
106,Colore diverso da quello visto nelle foto.,3,2025-09-08
105,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2024-06-26
109,Reso semplice e rimborsato in 2 giorni.,4,2024-12-08
104,Colore identico alle foto del sito.,5,2025-05-03
110,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2025-06-24
102,Colore identico alle foto del sito.,5,2024-07-03
109,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",3,2024-12-19
110,Colore identico alle foto del sito.,3,2025-05-22
108,Ottimo rapporto qualità/prezzo con sconto.,5,2024-10-28
107,"Packaging danneggiato, scatola arrivata schiacciata.",1,2024-06-04
105,"Packaging danneggiato, scatola arrivata schiacciata.",3,2024-08-28
111,"Reso complicato, procedure lunghe e poco chiare.",3,2024-04-22
111,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",3,2024-01-06
106,Colore identico alle foto del sito.,5,2024-06-19
106,Colore diverso da quello visto nelle foto.,1,2024-09-22
106,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-09-17
105,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",1,2024-09-22
101,"Qualità ottima, tessuto Abito estivo morbido e rifinito.",4,2024-04-25
102,"Packaging curato e sostenibile, molto apprezzato.",4,2024-08-12
109,"Packaging curato e sostenibile, molto apprezzato.",3,2024-12-02
105,Colore identico alle foto del sito.,4,2024-12-28
106,"Assistenza irraggiungibile, ticket rimasto senza risposta.",2,2025-03-07
108,Colore diverso da quello visto nelle foto.,1,2025-05-06
102,"Taglia fedele alla guida, vestibilità perfetta.",4,2025-05-23
105,"Reso complicato, procedure lunghe e poco chiare.",1,2024-12-07
101,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",1,2024-04-10
103,Ottimo rapporto qualità/prezzo con sconto.,3,2024-08-08
110,"Taglia non corrispondente, ho dovuto cambiare due volte.",3,2024-12-26
107,"Packaging curato e sostenibile, molto apprezzato.",4,2024-12-10
107,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2024-08-28
107,Colore identico alle foto del sito.,4,2025-03-12
101,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2024-02-09
105,"Packaging curato e sostenibile, molto apprezzato.",4,2024-11-19
108,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2025-02-07
107,Ottimo rapporto qualità/prezzo con sconto.,4,2024-10-08
108,Reso semplice e rimborsato in 2 giorni.,5,2024-07-18
109,"Packaging curato e sostenibile, molto apprezzato.",4,2024-05-09
105,"Consegna rapidissima in 24h, imballo integro.",5,2024-09-08
111,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-05-05
109,"Reso complicato, procedure lunghe e poco chiare.",2,2024-12-12
102,"Assistenza irraggiungibile, ticket rimasto senza risposta.",2,2024-05-24
111,"Qualità ottima, tessuto Cappotto morbido e rifinito.",4,2025-04-10
104,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-04-14
101,"Qualità ottima, tessuto Abito estivo morbido e rifinito.",4,2024-10-02
112,"Reso complicato, procedure lunghe e poco chiare.",1,2024-08-20
104,Colore diverso da quello visto nelle foto.,1,2024-01-13
106,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-07-29
112,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2024-12-08
102,Colore identico alle foto del sito.,5,2025-05-28
105,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-07-24
112,"Reso complicato, procedure lunghe e poco chiare.",2,2024-12-22
109,Colore diverso da quello visto nelle foto.,2,2024-08-19
109,Colore identico alle foto del sito.,4,2024-02-14
106,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2024-04-10
111,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2025-05-07
105,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-07-21
107,"Consegna rapidissima in 24h, imballo integro.",4,2025-07-29
101,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-06-28
112,Ottimo rapporto qualità/prezzo con sconto.,4,2024-10-03
102,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2024-01-22
103,Colore identico alle foto del sito.,4,2024-05-03
109,"Reso complicato, procedure lunghe e poco chiare.",2,2024-09-08
103,Prezzo alto rispetto alla qualità percepita.,1,2024-12-16
111,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-01-13
101,"Packaging danneggiato, scatola arrivata schiacciata.",2,2025-01-27
107,"Packaging danneggiato, scatola arrivata schiacciata.",2,2025-01-15
109,"Qualità ottima, tessuto Maglione lana morbido e rifinito.",4,2024-10-25
106,Colore identico alle foto del sito.,4,2025-07-12
107,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2025-02-06
104,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-05-02
105,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2024-06-14
104,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-04-04
104,"Qualità ottima, tessuto Giacca casual morbido e rifinito.",5,2025-02-24
103,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-06-23
108,"Consegna rapidissima in 24h, imballo integro.",5,2024-09-09
102,"Consegna rapidissima in 24h, imballo integro.",4,2025-01-04
105,Colore identico alle foto del sito.,5,2025-07-21
106,"Reso complicato, procedure lunghe e poco chiare.",3,2025-05-20
107,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-05-04
107,Reso semplice e rimborsato in 2 giorni.,4,2025-03-10
112,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-07-30
103,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2024-03-13
111,"Taglia fedele alla guida, vestibilità perfetta.",4,2025-03-21
101,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2024-10-03
112,"Qualità ottima, tessuto Sandali morbido e rifinito.",4,2025-04-14
110,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2024-01-05
103,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",3,2024-08-31
104,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-10-16
108,"Packaging curato e sostenibile, molto apprezzato.",5,2024-08-30
103,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-04-19
103,Reso semplice e rimborsato in 2 giorni.,4,2024-07-02
107,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-05-18
110,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-05-26
101,"Consegna rapidissima in 24h, imballo integro.",5,2024-09-09
102,Colore diverso da quello visto nelle foto.,2,2025-09-20
102,Colore diverso da quello visto nelle foto.,2,2025-06-21
106,"Packaging danneggiato, scatola arrivata schiacciata.",3,2024-12-10
112,Ottimo rapporto qualità/prezzo con sconto.,4,2025-03-25
107,Colore diverso da quello visto nelle foto.,4,2024-11-02
102,Ottimo rapporto qualità/prezzo con sconto.,4,2025-06-24
110,"Qualità ottima, tessuto Cintura morbido e rifinito.",4,2024-07-05
101,"Consegna rapidissima in 24h, imballo integro.",4,2025-06-19
107,Ottimo rapporto qualità/prezzo con sconto.,4,2024-07-16
104,Colore identico alle foto del sito.,5,2025-02-08
104,"Qualità ottima, tessuto Giacca casual morbido e rifinito.",5,2024-09-12
102,"Taglia non corrispondente, ho dovuto cambiare due volte.",1,2024-04-15
110,Colore identico alle foto del sito.,5,2025-09-14
106,"Qualità ottima, tessuto Borsa pelle morbido e rifinito.",5,2024-08-06
112,Colore identico alle foto del sito.,4,2025-04-02
108,"Packaging danneggiato, scatola arrivata schiacciata.",1,2024-07-18
106,"Reso complicato, procedure lunghe e poco chiare.",3,2024-04-06
108,"Consegna rapidissima in 24h, imballo integro.",5,2024-08-14
105,Ottimo rapporto qualità/prezzo con sconto.,4,2024-09-23
103,"Assistenza irraggiungibile, ticket rimasto senza risposta.",2,2024-09-22
105,"Packaging curato e sostenibile, molto apprezzato.",5,2024-05-22
110,"Qualità ottima, tessuto Cintura morbido e rifinito.",4,2024-05-26
106,Reso semplice e rimborsato in 2 giorni.,5,2025-04-22
102,Reso semplice e rimborsato in 2 giorni.,4,2024-05-10
104,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-07-26
112,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2024-12-09
101,Colore identico alle foto del sito.,4,2024-04-07
106,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-12-14
106,"Assistenza irraggiungibile, ticket rimasto senza risposta.",2,2025-06-18
105,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-06-04
110,Prezzo alto rispetto alla qualità percepita.,2,2024-08-15
110,Ottimo rapporto qualità/prezzo con sconto.,4,2025-07-01
108,Ottimo rapporto qualità/prezzo con sconto.,4,2024-04-06
105,Reso semplice e rimborsato in 2 giorni.,5,2024-09-12
103,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-11-05
103,Ottimo rapporto qualità/prezzo con sconto.,5,2025-06-07
103,"Consegna rapidissima in 24h, imballo integro.",5,2025-03-27
112,Qualità sotto le aspettative: tessuto che fa pallini dopo pochi usi.,2,2024-09-08
106,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-05-16
112,"Consegna rapidissima in 24h, imballo integro.",5,2024-04-30
111,"Qualità ottima, tessuto Cappotto morbido e rifinito.",5,2024-04-21
111,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2024-05-06
104,Reso semplice e rimborsato in 2 giorni.,5,2024-02-25
103,Qualità sotto le aspettative: tessuto che fa pallini dopo pochi usi.,2,2025-07-22
112,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-03-06
109,"Packaging curato e sostenibile, molto apprezzato.",5,2024-08-13
105,"Consegna rapidissima in 24h, imballo integro.",5,2024-12-24
108,Reso semplice e rimborsato in 2 giorni.,5,2024-05-25
106,"Packaging curato e sostenibile, molto apprezzato.",5,2024-05-03
107,"Consegna rapidissima in 24h, imballo integro.",5,2024-05-10
102,Reso semplice e rimborsato in 2 giorni.,3,2024-07-03
111,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",3,2025-05-26
107,Colore diverso da quello visto nelle foto.,2,2025-01-26
111,Colore identico alle foto del sito.,5,2024-09-11
106,Ottimo rapporto qualità/prezzo con sconto.,5,2024-05-12
104,"Packaging curato e sostenibile, molto apprezzato.",4,2024-12-12
111,"Qualità ottima, tessuto Cappotto morbido e rifinito.",4,2025-07-08
106,Reso semplice e rimborsato in 2 giorni.,4,2025-02-24
111,Prezzo alto rispetto alla qualità percepita.,3,2025-05-21
105,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2025-01-01
107,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-01-23
108,"Packaging danneggiato, scatola arrivata schiacciata.",3,2025-04-03
101,Colore diverso da quello visto nelle foto.,2,2025-05-02
106,"Consegna rapidissima in 24h, imballo integro.",5,2025-01-25
110,Ottimo rapporto qualità/prezzo con sconto.,5,2024-01-04
108,Reso semplice e rimborsato in 2 giorni.,4,2024-04-11
108,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-01-20
111,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-05-07
106,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2024-05-17
101,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2024-12-14
101,"Reso complicato, procedure lunghe e poco chiare.",2,2025-04-26
108,Reso semplice e rimborsato in 2 giorni.,5,2024-08-21
104,"Qualità ottima, tessuto Giacca casual morbido e rifinito.",5,2025-05-26
107,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-01-24
105,"Packaging curato e sostenibile, molto apprezzato.",4,2025-12-07
111,Reso semplice e rimborsato in 2 giorni.,5,2025-04-07
107,"Qualità ottima, tessuto Felpa morbido e rifinito.",4,2024-08-26
105,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-04-05
103,Ottimo rapporto qualità/prezzo con sconto.,4,2024-04-29
111,Reso semplice e rimborsato in 2 giorni.,4,2025-12-23
103,"Taglia fedele alla guida, vestibilità perfetta.",4,2025-05-23
111,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",1,2024-12-24
101,"Consegna rapidissima in 24h, imballo integro.",4,2025-04-04
105,Colore diverso da quello visto nelle foto.,3,2024-04-10
101,Colore identico alle foto del sito.,5,2024-12-08
110,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",5,2025-03-03
107,"Qualità ottima, tessuto Felpa morbido e rifinito.",5,2025-06-11
107,Colore identico alle foto del sito.,4,2025-07-27
109,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-05-22
103,"Taglia non corrispondente, ho dovuto cambiare due volte.",1,2025-04-28
108,"Qualità ottima, tessuto Pantaloni eleganti morbido e rifinito.",5,2025-07-13
104,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",2,2024-11-05
103,Colore diverso da quello visto nelle foto.,3,2024-11-02
103,"Qualità ottima, tessuto Jeans slim morbido e rifinito.",5,2025-12-03
110,"Consegna rapidissima in 24h, imballo integro.",4,2025-06-10
103,"Consegna in ritardo di 5 giorni, tracking poco chiaro.",3,2025-04-03
112,Reso semplice e rimborsato in 2 giorni.,4,2025-09-24
108,"Packaging danneggiato, scatola arrivata schiacciata.",4,2024-06-04
112,Ottimo rapporto qualità/prezzo con sconto.,5,2025-05-07
110,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-05-17
103,"Qualità ottima, tessuto Jeans slim morbido e rifinito.",5,2024-09-09
111,Ottimo rapporto qualità/prezzo con sconto.,5,2024-04-05
103,"Packaging curato e sostenibile, molto apprezzato.",4,2025-04-04
111,Colore diverso da quello visto nelle foto.,3,2024-05-24
103,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-04-02
111,"Consegna rapidissima in 24h, imballo integro.",4,2024-07-27
103,"Consegna rapidissima in 24h, imballo integro.",4,2025-02-27
104,"Taglia fedele alla guida, vestibilità perfetta.",5,2025-04-09
107,"Qualità ottima, tessuto Felpa morbido e rifinito.",4,2024-07-30
108,Qualità sotto le aspettative: tessuto che fa pallini dopo pochi usi.,2,2024-08-01
107,"Assistenza irraggiungibile, ticket rimasto senza risposta.",2,2024-08-30
109,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2025-05-03
109,"Assistenza gentilissima via chat, problema risolto in 10 minuti.",4,2025-12-18
111,"Packaging danneggiato, scatola arrivata schiacciata.",2,2024-09-12
112,Reso semplice e rimborsato in 2 giorni.,4,2025-06-13
110,"Qualità ottima, tessuto Cintura morbido e rifinito.",4,2024-12-13
109,"Reso complicato, procedure lunghe e poco chiare.",1,2025-06-26
102,"Consegna rapidissima in 24h, imballo integro.",5,2024-07-27
106,"Taglia fedele alla guida, vestibilità perfetta.",4,2024-01-15
108,"Qualità ottima, tessuto Pantaloni eleganti morbido e rifinito.",4,2025-12-02
112,"Consegna rapidissima in 24h, imballo integro.",4,2024-11-05
111,"Taglia fedele alla guida, vestibilità perfetta.",4,2025-06-02
105,"Packaging curato e sostenibile, molto apprezzato.",4,2024-08-26
112,"Taglia fedele alla guida, vestibilità perfetta.",5,2024-02-28
104,"Taglia non corrispondente, ho dovuto cambiare due volte.",2,2024-09-10
111,"Assistenza irraggiungibile, ticket rimasto senza risposta.",3,2025-06-02
104,"Packaging curato e sostenibile, molto apprezzato.",3,2025-07-06
103,"Consegna rapidissima in 24h, imballo integro.",5,2025-04-08
