userName,score,at,content
Pengguna Google,5,2024-06-10 19:31:21,Bagus
Pengguna Google,5,2024-06-10 18:36:16,Sangat membantu dalam urusan keuangan saya.
Pengguna Google,5,2024-06-10 18:34:28,Mantap
Pengguna Google,5,2024-06-10 17:27:09,Sangat memudahkan
Pengguna Google,5,2024-06-10 16:17:19,Min kok stiap buka bca loding nya lama bangt Kresna berat
Pengguna Google,2,2024-06-10 15:41:46,Mantap
Pengguna Google,1,2024-06-10 15:28:43,"Saya pngguna baru BCA, knp BCA MOBILE saya tidak bisa verifikasi? Pdahal no.hp sudah terdaftar m-banking bca oleh teller bca. Sudah coba berbagai cara sesuai panduan hallo bca tp ttep gk bsa? Pulsa abis bnyak cm buat coba verifikasi tp percuma ttep g bs hemmmm"
Pengguna Google,5,2024-06-10 15:05:28,Ok
Pengguna Google,5,2024-06-10 15:04:41,Bagus
Pengguna Google,5,2024-06-10 15:00:46,Mantabz bosku
Pengguna Google,5,2024-06-10 14:53:01,Lapor kok bca kaya nge bug ya pas mau buka aplikasinya suka ke keluar
Pengguna Google,3,2024-06-10 14:50:36,"kenapa setiap kali mau pakai NFC, harus di restart baru bisa"
Pengguna Google,5,2024-06-10 14:44:07,mantappp
Pengguna Google,5,2024-06-10 14:05:57,Tolong dong admin ko saya jadi ga bisa buka m bca saya lagi ya semenjak ganti hp
Pengguna Google,5,2024-06-10 13:45:25,Oke
Pengguna Google,2,2024-06-10 13:13:48,Oke
Pengguna Google,1,2024-06-10 13:06:00,"Tadinya aman aja, eh tiba"" disuruh aktifasi finansial BCA nunggu berhari"" coba kalau misalkan orangnya butuh, masa iya harus nurut sama BCA, berasa saya yang butuh BCA"
Pengguna Google,1,2024-06-10 12:26:34,"Verifikasi ulang mulu , pulsa sudah kepotong tapi tidak terdeteksi . . Mohon untuk segera diperbaiki"
Pengguna Google,5,2024-06-10 12:21:34,Sangat membantu transaksi LBH mudah👍👍
Pengguna Google,5,2024-06-10 11:55:13,"Saya update ulasan nya ya,. Udah ok, bca mantap"
Pengguna Google,5,2024-06-10 11:47:39,Ok gak ribet
Pengguna Google,5,2024-06-10 11:13:26,Sangat bermanfaat
Pengguna Google,5,2024-06-10 10:47:07,Sangat responsif
Pengguna Google,4,2024-06-10 10:43:15,"ini kenapa dengan mbangking,selalu keluar dan minta verivikasi sdh di lakuin berkali2 sampe pls 25rb habis tapi masih ga bisa,udh ganti tempat takut berkendela dengan sinyal tapi nyatanya nihil malah pls habis...ada apa dengan BCA???"
Pengguna Google,5,2024-06-10 10:40:15,Sangat membantu
Pengguna Google,2,2024-06-10 10:25:07,lemott sinyal kenceng lemot
Pengguna Google,3,2024-06-10 10:13:32,Mau lihat no rekening nya dimana yah?
Pengguna Google,2,2024-06-10 08:40:10,Sudah 2 hari ini MBCA gak bisa digunain..ad ap ?? Tolong segera ditangani
Pengguna Google,1,2024-06-10 08:30:18,Jadi lemot kalau buka
Pengguna Google,1,2024-06-10 08:21:17,"My bca bermasalah ... kadang enter gk bisa dipencet , mbca pun tak ok ... verifikasi wajah aja gk bisa2 ... ngawur"
Pengguna Google,3,2024-06-10 08:17:02,update terbaru masuknya lama
Pengguna Google,5,2024-06-10 06:38:01,Sangat membantu
Pengguna Google,5,2024-06-10 06:35:00,Thanks mei
Pengguna Google,3,2024-06-10 06:14:25,"Stlh di update kmrn tiap buka m banking jadi lama harus nunggu ,pdlh sblm di update cpt pas di klik ,ini kenapa yah 🙏"
Pengguna Google,1,2024-06-10 06:10:14,"Aplikasinya ngebug untuk yg versi sekarang,masuk ke menu loadingnya lama banget dan kadang ada tulisannya tutup aplikasi"
Pengguna Google,5,2024-06-10 06:09:14,Mantap
Pengguna Google,1,2024-06-10 05:51:10,Udah di instal tp pas ceklis 2 ketentuan gak bisa² baru ceklis satu balik² terus .klo bisa dibuat seperti motion banking lebih mudah.pas ganti² hp.
Pengguna Google,1,2024-06-10 05:46:30,Bca sekarang beda..trima otp ajja harus ada pulsa. kalokita ngirim pake pulsa oke lah.ini trima otp ajja harus ada pulsa..bca pelayanan sekrng ga bagus
Pengguna Google,2,2024-06-10 05:07:42,"Gak bca gak xl today ngeselin bgt, lemot cuma ganti hp trus verifikasi buffering trooos, nyedot pulaaaaa...."
Pengguna Google,5,2024-06-10 04:57:44,"Aplikasinya bagus,,,cepat,, mudah ...pokonya rekomend bangt"
Pengguna Google,5,2024-06-10 04:46:30,Sangat membantu sekali
Pengguna Google,5,2024-06-10 04:28:02,Mantaaaap
Pengguna Google,3,2024-06-10 03:22:46,"Sdh donlod, tiba2 gada dihp. Donlod lagi tapi tiap mau transaksi sulit nyari aplikasinya. Kayak kehidden gt. Kenapa ya. Kl ketemupun hrs masukin no atm lagi. Bbrp kali bgt. Kenpaaa... kok jd ribet. Padahal dulu ga pnh bgini"
Pengguna Google,5,2024-06-10 03:20:52,Membantu masyarakat mudah d gunakan mudah pula tuk melakukan transaksi pembayaran
Pengguna Google,5,2024-06-10 03:04:03,Bermanfaat untuk transaksi
Pengguna Google,5,2024-06-10 02:45:37,Sangat membantu
Pengguna Google,2,2024-06-10 02:28:54,"Aplikasi saat ini sulit sekali dibuka, booting lama"
Pengguna Google,1,2024-06-10 02:19:36,"Mau ngisi kartu Flazz ga ngebaca sedangkan ngisi di ovo sama dana nebaca, aplikasi busuk"
Pengguna Google,5,2024-06-10 02:07:12,Pelayanan nya sangat baik...
Pengguna Google,5,2024-06-10 01:47:03,Top
Pengguna Google,5,2024-06-10 01:29:48,"Apa perbedaan blu,mybca dan mbca"
Pengguna Google,5,2024-06-10 01:04:18,Terimakasih BCA mobile sudah memberikan yg terbaik dan kemudahan untuk bertransaksi..
Pengguna Google,4,2024-06-10 00:49:01,bagus lah saya jadi punya kartu tabungan sangat membantu
Pengguna Google,5,2024-06-10 00:24:24,Saya sangat puas
Pengguna Google,5,2024-06-10 00:12:30,"Tolong tingkatkan untuk menambah fasilitas ke daerah daerah agar lebih mudah, untuk nasabah di daerah apalagi yang cukup jauh dari kota, supaya mesin atam semakin banyak di daerah. Terimakasih"
Pengguna Google,1,2024-06-09 23:39:19,"Parah.!!!!! Kenapa saat verifikasi wajah gagal terus menerus, padahal posisi sudah sesuai dengan petunjuk, kalau gagal yah di ulangin saja fotonya kenapa harus verifikaei ulang ktp lagi.????"
Pengguna Google,2,2024-06-09 22:40:05,Setelah update sekarang nunggu lama. Lelet pooollll..!!
Pengguna Google,5,2024-06-09 22:16:23,Bee
Pengguna Google,2,2024-06-09 20:34:36,Aplikasi jadi susah dibuka setelah saya update
Pengguna Google,5,2024-06-09 18:00:49,Mempermudah melakukan transaksi 😍😍😍
Pengguna Google,1,2024-06-09 17:27:19,"Bangke memang, sampai habis pulsa, ujungnya kembali kemenu utama, malah sering keputus internet, payah betul ini BCA, sebelah daftar online enak aja, ini malah ngerugikan.. pulsa habis 10k cok"
Pengguna Google,5,2024-06-09 17:21:51,Ok
Pengguna Google,5,2024-06-09 17:06:36,Mantep BCA
Pengguna Google,3,2024-06-09 16:52:31,Sepi promo..
Pengguna Google,5,2024-06-09 16:01:37,Bagus Mudah Praktis
Pengguna Google,5,2024-06-09 15:50:24,Sangat membantu terimakasih.
Pengguna Google,5,2024-06-09 15:16:41,Sangat mudah
Pengguna Google,5,2024-06-09 14:31:35,Sangat bagus dan banyak manfaatnya
Pengguna Google,5,2024-06-09 14:09:58,Sangat bagus apk ini dan sangat membatu kita
Pengguna Google,5,2024-06-09 14:09:51,Mantapp
Pengguna Google,5,2024-06-09 14:04:32,Sangan bagus sekali
Pengguna Google,1,2024-06-09 13:50:18,"Ini susah banget sih verifikasinya, pulsa udah berkurang banyak tapi gagal verifikasi juga, ga jelas"
Pengguna Google,1,2024-06-09 13:10:07,Apalagi ini malas bgt utk mendownload nya
Pengguna Google,5,2024-06-09 12:26:58,Mudah...kalao.ada.pulsa
Pengguna Google,5,2024-06-09 12:19:18,Good
Pengguna Google,5,2024-06-09 12:17:06,Sangat membantu untuk pembayaran yang serba cepat & praktis
Pengguna Google,4,2024-06-09 12:12:46,"Sip dah bisa , cuma tampilan appnya yg terlalu kaku"
Pengguna Google,5,2024-06-09 12:09:57,Sangat mudah buat transaksi
Pengguna Google,5,2024-06-09 11:56:29,semakin mantab setelah update juni 2024
Pengguna Google,5,2024-06-09 11:35:44,Terbaik
Pengguna Google,5,2024-06-09 11:25:12,Untuk saat ini cukup baik dan mudah dalam pelayanan. Tingkatkan dan pertahankan yg sudah baik.
Pengguna Google,5,2024-06-09 10:56:29,Terima kasih bca ini sangat membantu
Pengguna Google,1,2024-06-09 10:27:46,"Verifikasi nya gagal mulu, padahal udh bener"" teliti ngisi data nya, sampe rela cukur rambut ngikutin foto yg sesuai di KTP, masih aja gagal"
Pengguna Google,4,2024-06-09 09:57:58,mantap
Pengguna Google,5,2024-06-09 09:47:36,Bagus lebih ditingkatkan
Pengguna Google,1,2024-06-09 09:33:36,"Parah bca. Padahal bank gedean masa atm ilang ga bisa bikin mending klo gk ada saldonya, ini mah masih ada oii.. masa ngurus dari habis cuti lebaran kemaren sampe sekarang kga bisa bisa."
Pengguna Google,1,2024-06-09 09:33:15,"Verifikasi ulang berkali-kali tapi gagal, sedangkan sinyal provider full, ganti wifi juga masih gagal terus. Pulsa sampai habis karena SMS berbayar walaupun gagal."
Pengguna Google,5,2024-06-09 09:17:45,Memudahkn transaksi...
Pengguna Google,5,2024-06-09 08:21:35,"Kepada pihak BCA tolong di perbaiki indikator hari ini merah terus,jadi mengganggu transaksi . terima kasih"
Pengguna Google,5,2024-06-09 07:56:26,Sagst baik
Pengguna Google,5,2024-06-09 07:24:17,The best service
Pengguna Google,5,2024-06-09 07:04:29,"Layanan cepat tanpa ribet,"
Pengguna Google,5,2024-06-09 06:35:29,Tiada duanya
Pengguna Google,5,2024-06-09 06:17:53,Bagus
Pengguna Google,1,2024-06-09 05:53:04,Login gak bisa padahal kemaren kemaren bisa koneksi terputus mulu
Pengguna Google,1,2024-06-09 05:52:38,"pulsa kesedot banyam cuma buat aktivasi rekeninv baru yg gagal 'koneksi internet terputus' padahal internet lancar, bagus"
Pengguna Google,4,2024-06-09 05:29:47,blm bisa kasih 5 bintang. soalnya blm bisa akses dengan fingerprint... agar lebih cepat
Pengguna Google,1,2024-06-09 05:20:47,Pengambilan wajah gagal terus selama 16tahun padahal verifikasi di bawah sinar Matahari kurang cahaya gimana lagi
Pengguna Google,5,2024-06-09 05:10:08,Baiiik...👍
Pengguna Google,5,2024-06-09 04:45:40,Top one
Pengguna Google,2,2024-06-09 04:32:35,"ini kenapa ya setiap mau login tidak bisa nah saya uninstall aplikasi nya terus di install lagi malah eror setiap mau login tidak bisa malah tulisannya muncul ""Internet anda terputus, mohon coba lagi"" gitu terus padahal WiFi nya lancar, mohon pencerahannya"
Pengguna Google,5,2024-06-09 04:22:09,Mantqp gampang dimn saja good job bank baca
Pengguna Google,5,2024-06-09 03:51:44,"menurutku bca mobile itu mbangking paling sat set, kalau mau di adu kecepatan nya sama mbangking bank lain pasti unggul, bayar qris pakai bca mobile ga ada 10 detik udah selesai kalau mbangking bank lain bisa lebih dari itu, kalau dari segi ui/ux emang bca kalah tapi kalau dari segi kecepatan dan ketepatan bca nomor satu, salut sama bca yang mementingkan fungsi, tapi kalau kalian suka yang tampilannya bagus bca juga punya mybca yang ui/ux nya bagus, tapi menurutku so far lebih sat set bca mobile"
Pengguna Google,3,2024-06-09 03:21:19,"Verifikasi muka untuk BCA mobile tidak terbaca terus, AKHIRNYA telpon call center dan di suruh ke kantor BCA. Padahal di tanya data sudah sesuai semua. Bukan masalah ga mau ke kantor, tapi kadang kita waktunya ga bisa. Saya kira semuanya sudah bisa serba online tapi nyatanya , ya sudahlah"
Pengguna Google,3,2024-06-09 03:04:36,Sekarang waktu loading aplikasi waktu dibuka jadi lama. Tolong di percepat waktu loading aplikasi saat dibuka
Pengguna Google,5,2024-06-09 02:53:48,Sangat membantu
Pengguna Google,5,2024-06-09 02:25:09,Transaksi lebih mudah
Pengguna Google,4,2024-06-09 01:56:28,Oke
Pengguna Google,5,2024-06-08 23:19:02,Bagus...👍👍👍👍👍👍👍👍👍👍
Pengguna Google,5,2024-06-08 23:12:21,good application 👍
Pengguna Google,1,2024-06-08 22:40:09,Sdh beberapa hari ininketika mau masuk ke mobile bca lama harus menunggu tidak seperti biasa nya langsung terbuka
Pengguna Google,1,2024-06-08 22:20:42,"Qris nya kadang kacau , 100 rb hilang di saldo dan ga sampai ke penerima. sistemnya masih lemah . udah semua hallo bca ga bisa via chat, situs ,wa ... intinya harus call ."
Pengguna Google,5,2024-06-08 20:18:25,Sangat membantu dan puas
Pengguna Google,1,2024-06-08 19:13:51,Gangguan terus setiap mau transfer ke bank lain gak bisa
Pengguna Google,4,2024-06-08 18:50:51,Mantap
Pengguna Google,5,2024-06-08 18:14:43,Mantapbe
Pengguna Google,1,2024-06-08 18:11:42,"Aneh, kalo ada dua simcard di hp, langsng gk bisa buka lagi dan selalu minta verifikasi ulang. Sangat menyebalkan"
Pengguna Google,5,2024-06-08 17:26:07,👍👍👍👍👍
Pengguna Google,5,2024-06-08 17:11:12,Bagus sangat membantu sekali terimakasih BCA
Pengguna Google,5,2024-06-08 16:43:05,"sangat membantu, terimakasih, 🙏"
Pengguna Google,3,2024-06-08 16:20:51,Ga ada notifikasi
Pengguna Google,1,2024-06-08 15:33:40,"apk nya pembaruan mulu, nora"
Pengguna Google,5,2024-06-08 15:31:54,Sedikit kecewa dengan kode otp ny
Pengguna Google,1,2024-06-08 15:19:02,mulai lemot
Pengguna Google,4,2024-06-08 15:17:05,Setelah di update kok malah lemot saat awal buka aplikasi
Pengguna Google,4,2024-06-08 15:09:23,Ok aman
Pengguna Google,3,2024-06-08 14:24:08,makin ke sini makin jadi bca mobile makin lama ya hmm
Pengguna Google,5,2024-06-08 14:20:56,Pelayan special
Pengguna Google,2,2024-06-08 13:29:52,"Dalam dua hari ini aplikasinya susah dibuka, ada apa ya"
Pengguna Google,3,2024-06-08 13:14:38,Saya mau tanya kalo untuk buka rekening baru di smartphone kira - kira ada biaya setor awal ngg ya. Kalo ada berapa Terima kasih
Pengguna Google,5,2024-06-08 12:16:00,"Terima kasih, sudah mempermudah transaksi 👍"
Pengguna Google,3,2024-06-08 12:15:41,"Kenapa setelah di update kmren, kok openingnya jd loading lama ya? Biasanya pas klik aplikasi langsung masuk ke menu utama. Skg mah kudu nunggu dl. Dan notif dr Bi-fastnya jg udh hilang."
Pengguna Google,5,2024-06-08 11:58:36,Sangat membantu.
Pengguna Google,2,2024-06-08 11:05:46,gabsa masuk kendala mulu
Pengguna Google,1,2024-06-08 10:59:13,"Transfer gagal saldo terpotong 500k, duitnya lenyap. Mantap !"
Pengguna Google,5,2024-06-08 10:53:39,Selalu jd yg terbaik
Pengguna Google,1,2024-06-08 10:49:59,Bafuk
Pengguna Google,3,2024-06-08 10:40:31,"Setiap buka aplikasi pastiii loding lama, klo ngak ngak bisa buka apknya malah balik lagi. kadang ngak kebuka2, jadi menghambat klo mau transaksi lewat QR,padahal sinyal saya bagus. Itu kenapa ya .. jadiii sementara saya tarik uang di mbanking karena jadi menghambat pembayaran yg akan saya lakukan ."
Pengguna Google,5,2024-06-08 10:14:31,Cukup membantu
Pengguna Google,4,2024-06-08 09:15:55,Buka aplikasinya lemot banget sih sekarang
Pengguna Google,5,2024-06-08 09:04:16,Mantaf
Pengguna Google,5,2024-06-08 09:03:04,Sangat baik
Pengguna Google,5,2024-06-08 08:44:50,Goood
Pengguna Google,5,2024-06-08 08:06:48,M banking lg ganggu an yh
Pengguna Google,5,2024-06-08 08:05:31,Puas
Pengguna Google,2,2024-06-08 07:53:29,Tidak bisa terima kode ottp teruz kenapa
Pengguna Google,1,2024-06-08 07:33:39,"Hati hati pengguna bca , kejadian kmren saya dpet transfer dari riwayat sudah ada dana masuk pas cek saldo gaada.. sampe 3 kali transferan ilang semua.. chat cs gaada solusi.. sekelas bca kek gini hati hati"
Pengguna Google,5,2024-06-08 06:56:02,👍👍👍
Pengguna Google,5,2024-06-08 06:31:22,Semoga tetap amanah dan berjaya
Pengguna Google,1,2024-06-08 06:27:25,Verifikasi sms lama banget di ulang terus sama saja sampai seharian nggak bisa masuk ..padahal pulsa ada
Pengguna Google,5,2024-06-08 06:10:34,Bagus
Pengguna Google,1,2024-06-08 05:37:49,"Payah bayar barang pake QRIS ga masuk tapi saldo di ATM berkurang,udah telfon ke halo BCA Ampe sekarang duit ga balik balik,parah"
Pengguna Google,1,2024-06-08 05:34:02,"bca tolong dong kalo mau masuk ulang mbanking jgn di persulit, verifikasi wajah aja gagal trs!"
Pengguna Google,3,2024-06-08 05:33:42,Pengalaman saya..waktu saya mau bayar tagihan listrik melalui BCA mobile saat memasukkan pin dua kali katanya salah padahal pin tersebut sudah betul tetapi masih salah terus katanya dan yang ketiga saya masukkan pin lagi salah lagi dan akhirnya bca mobile saya terblokir.
Pengguna Google,5,2024-06-08 04:58:10,Bagus
Pengguna Google,2,2024-06-08 04:33:42,Tiap hari minta update
Pengguna Google,4,2024-06-08 04:21:30,"keamanan mantap ,praktis dan mudah dalam mengakses"
Pengguna Google,1,2024-06-08 03:59:39,"Susah bgt mau log in, pas selfie gk moto2/scan wajah padahal udah keliatan jelas mukanya dan sudah sesuai bingkai"
Pengguna Google,5,2024-06-08 03:25:03,bagus sangat menbantu
Pengguna Google,1,2024-06-08 03:21:13,Aplikasi eror setelah update ... Tolong diperbaiki
Pengguna Google,1,2024-06-08 03:09:55,Mohon di perbaiki ketika mau buka app bca nya lambat sekali
Pengguna Google,3,2024-06-08 02:36:19,kenapa setelah saya update jadi lemot aplikasi bca mobile saya
Pengguna Google,1,2024-06-08 02:17:26,Ini mbangking knpa ya tiap mau login ga prnah bisa msuk malah jdi kyak lemot bgt
Pengguna Google,5,2024-06-08 01:42:08,Mantap
Pengguna Google,1,2024-06-08 01:33:24,buruk apa2 harus pake pulsa
Pengguna Google,2,2024-06-08 01:31:45,Reeeu diedzedeGeeedeesudd
Pengguna Google,5,2024-06-08 00:43:14,Bagus
Pengguna Google,5,2024-06-07 23:04:54,Memuaskan
Pengguna Google,4,2024-06-07 23:02:45,berubah pola sendiri
Pengguna Google,5,2024-06-07 22:38:00,👍👍👍👍👍
Pengguna Google,5,2024-06-07 20:55:35,"Saat proses permintaan kode otp parah banget,dari malem sampe siang dicoba tidak ada kode yang dikirim."
Pengguna Google,1,2024-06-07 19:28:02,Ribet transfernya ke nomor rek baru harus di daftar dulu. Upgrade dong ke yg lebih mudah
Pengguna Google,2,2024-06-07 17:25:10,Kenapa jadi suka ngelag ya ?
Pengguna Google,1,2024-06-07 16:59:10,"Setiap login mesti verifikasi ulang, pas sms pun tidak bisa selalu gagal! Pulsa sampai abis setelah update jadi parah apk nya. v4.3.0 IT nya lelah. pulang nak, your drunks!"
Pengguna Google,5,2024-06-07 16:55:29,Oke
Pengguna Google,1,2024-06-07 16:17:51,Verifikasi kayak taiiiii
Pengguna Google,3,2024-06-07 16:02:29,"Kenapa BCA mobile saya gak bisa ke buka ya...,setelah saya upgret malah kaya begitu pas buka layar nya hitam,bisa di jelasin gitu admin"
Pengguna Google,1,2024-06-07 15:44:11,"Minimal histori bukti transfer nya permanen dong, jangan hilang sendiri setelah lebih dari 1 bulan, gajelas 👎👎👎👎"
Pengguna Google,4,2024-06-07 15:05:41,Memuaskan
Pengguna Google,5,2024-06-07 14:52:58,Di versi terbaru aplikasi ngebug
Pengguna Google,3,2024-06-07 14:33:36,Cara minjam uang online gimana sih susah banget udah jadi user lama juga hadeeeh
Pengguna Google,1,2024-06-07 14:10:32,Ribet
Pengguna Google,5,2024-06-07 13:57:25,"Menurutku bagus aplikasinya,mudah cepat dan aman"
Pengguna Google,5,2024-06-07 13:24:21,Pelayanannya bagus ramah cepat di respon
Pengguna Google,5,2024-06-07 13:15:52,Sangat membantu
Pengguna Google,5,2024-06-07 13:10:19,Tambahan verifikasi wajah kalo kita lupa kode akses selebihnya baik pertahanan kinerja baiknya
Pengguna Google,1,2024-06-07 12:22:41,"Sesudah pemharuan ,Pasbuka apk lemot nya minta ampun bos,"
Pengguna Google,5,2024-06-07 12:02:56,Bahagia selalu pakai BCA MUDAH DAN CEPAT.
Pengguna Google,5,2024-06-07 11:47:29,mantal
Pengguna Google,2,2024-06-07 11:41:54,Sudah 3 minggu gak bisa dipakai buat transfer antar bank🤦‍♂️🤦‍♂️🤦‍♂️
Pengguna Google,5,2024-06-07 11:31:01,"sangat membantu, sekarang transaksi finansial ga perlu pake kartu ATM lagi juga perlu key bca."
Pengguna Google,5,2024-06-07 11:15:47,Mudah dan cepat
Pengguna Google,5,2024-06-07 10:49:05,Mantapppp
Pengguna Google,1,2024-06-07 10:48:49,Susah verifikasi wajah.
Pengguna Google,5,2024-06-07 10:22:45,Pembaruan tgl 4 juni 2024...agak lama di awal buka aplikasinya.
Pengguna Google,5,2024-06-07 09:45:51,Mantaf
Pengguna Google,3,2024-06-07 09:19:54,BCA tolong Ini pengeluaran apa yah kalo ada saldo masuk uang tiba tiba hilang 50 ribu sedangkan dicek mutasi gak ada sama sekali pengeluaran
Pengguna Google,3,2024-06-07 09:18:11,Sudah di instal 100℅ ehhh tiba2 harus instal lagii.. Begitu mulu.. Kenapa sihh?? Dan kmren2 sebelom Saya update ko selalu ada bacaan transaksi gagal silahkan tutup kembali.. Begitu mulu
Pengguna Google,5,2024-06-07 08:52:13,Ok mantap
Pengguna Google,1,2024-06-07 08:34:00,"Mbangking BCA semakin kaya babi aplikasi nya, centang saat aktifasi lagi ga muncul muncul , tolong lah perbaiki yg bener,, mendingan BCA yg lama mau login maupun aktifasi lagi yg pakai pulsa gampang,, semenjak di pembaharuan jadi susah di buka lagi BCA babi ini"
